state,district
Andaman and Nicobar Islands,Nicobar
Andaman and Nicobar Islands,North And Middle Andaman
Andaman and Nicobar Islands,South Andaman
Andhra Pradesh,Ananthapur
Andhra Pradesh,Chittoor
Andhra Pradesh,Cuddapah
Andhra Pradesh,East Godavari
Andhra Pradesh,Guntur
Andhra Pradesh,Krishna
Andhra Pradesh,Kurnool
Andhra Pradesh,Nellore
Andhra Pradesh,Prakasam
Andhra Pradesh,Srikakulam
Andhra Pradesh,Visakhapatnam
Andhra Pradesh,Vizianagaram
Andhra Pradesh,West Godavari
Arunachal Pradesh,Changlang
Arunachal Pradesh,Dibang Valley
Arunachal Pradesh,East Kameng
Arunachal Pradesh,East Siang
Arunachal Pradesh,Kurung Kumey
Arunachal Pradesh,Lohit
Arunachal Pradesh,Longding
Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh,Papum Pare
Arunachal Pradesh,Tawang
Arunachal Pradesh,Tirap
Arunachal Pradesh,Upper Siang
Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh,West Kameng
Arunachal Pradesh,West Siang
Assam,Barpeta
Assam,Bongaigaon
Assam,Cachar
Assam,Darrang
Assam,Dhemaji
Assam,Dhubri
Assam,Dibrugarh
Assam,Goalpara
Assam,Golaghat
Assam,Hailakandi
Assam,Jorhat
Assam,Kamrup
Assam,Karbi Anglong
Assam,Karimganj
Assam,Kokrajhar
Assam,Lakhimpur
Assam,Marigaon
Assam,Nagaon
Assam,Nalbari
Assam,North Cachar Hills
Assam,Sibsagar
Assam,Sonitpur
Assam,Tinsukia
Bihar,Araria
Bihar,Arwal
Bihar,Aurangabad(BH)
Bihar,Banka
Bihar,Begusarai
Bihar,Bhagalpur
Bihar,Bhojpur
Bihar,Buxar
Bihar,Darbhanga
Bihar,East Champaran
Bihar,Gaya
Bihar,Gopalganj
Bihar,Jamui
Bihar,Jehanabad
Bihar,Kaimur (Bhabua)
Bihar,Katihar
Bihar,Khagaria
Bihar,Kishanganj
Bihar,Lakhisarai
Bihar,Madhepura
Bihar,Madhubani
Bihar,Munger
Bihar,Muzaffarpur
Bihar,Nalanda
Bihar,Nawada
Bihar,Patna
Bihar,Purnia
Bihar,Rohtas
Bihar,Saharsa
Bihar,Samastipur
Bihar,Saran
Bihar,Sheikhpura
Bihar,Sheohar
Bihar,Sitamarhi
Bihar,Siwan
Bihar,Supaul
Bihar,Vaishali
Bihar,West Champaran
